6765	2026-03-06	五	診所	和緯二	中華北路	533	200	0	200	
6766	2026-03-06	五	診所		仁和路	533	220	-220	0	住院
6767	2026-03-06	五	同安路		診所	61553	220	0	220	
6768	2026-03-06	五	診所		永大路	61553	280	0	280	
6769	2026-03-06	五	診所		安定	5386	500	0	500	
6770	2026-03-06	五	小北路	民德105	診所	533	120	0	120	
6771	2026-03-06	五	診所		裕民街	28530	85	0	85	
6772	2026-03-06	五	診所	府前二街+建平七街	健康三街	28530	250	0	250	
6774	2026-03-06	五	立德八路		診所	28530	165	0	165	
6775	2026-03-06	五	診所		立德八路	61553	165		165	
6780	2026-03-07	六	怡平路		診所	28530	140	0	140	
6781	2026-03-07	六	安北路	古堡街+和緯五	診所	28530	230	0	230	
6782	2026-03-07	六	土城	湖美街46巷	診所	533	420	0	420	
6783	2026-03-07	六	公園南路	海安路	診所	533	90	0	90	
6784	2026-03-07	六	龍埔街	北門路三段	診所	61553	340	0	340	
6785	2026-03-07	六	文賢路		診所	61553	90	0	90	
6786	2026-03-07	六	診所		怡平路	533	140	0	140	
6787	2026-03-07	六	診所	和緯五+安北路	古堡街	28530	220	0	220	
6788	2026-03-07	六	南寧街		診所	61553	120	0	120	
6789	2026-03-07	六	診所	湖美街46巷	土城	533	420	0	420	
6790	2026-03-07	六	馬鎮宮		診所	28530	330	0	330	
6791	2026-03-07	六	診所	海安路	公園南路	533	90	0	90	
6792	2026-03-07	六	診所	北門路三段	龍埔街	28530	340	0	340	
6793	2026-03-07	六	診所		文賢路	533	90	0	90	
6794	2026-03-07	六	診所		南寧街	533	120	0	120	
6795	2026-03-07	六	診所		馬鎮宮	533	330	0	330
